time [s],XSens_Hand_Right_QX,XSens_Hand_Right_QY,XSens_Hand_Right_QZ,XSens_Hand_Right_QW,XSens_Foot_Left_QX,XSens_Foot_Left_QY,XSens_Foot_Left_QZ,XSens_Foot_Left_QW,XSens_Foot_Right_QX,XSens_Foot_Right_QY,XSens_Foot_Right_QZ,XSens_Foot_Right_QW,XSens_LowerLeg_Right_QX,XSens_LowerLeg_Right_QY,XSens_LowerLeg_Right_QZ,XSens_LowerLeg_Right_QW,XSens_LowerLeg_Left_QX,XSens_LowerLeg_Left_QY,XSens_LowerLeg_Left_QZ,XSens_LowerLeg_Left_QW,XSens_UpperLeg_Right_QX,XSens_UpperLeg_Right_QY,XSens_UpperLeg_Right_QZ,XSens_UpperLeg_Right_QW,XSens_UpperLeg_Left_QX,XSens_UpperLeg_Left_QY,XSens_UpperLeg_Left_QZ,XSens_UpperLeg_Left_QW,XSens_Pelvis_QX,XSens_Pelvis_QY,XSens_Pelvis_QZ,XSens_Pelvis_QW,XSens_Sternum_QX,XSens_Sternum_QY,XSens_Sternum_QZ,XSens_Sternum_QW
0.0,-0.1901901881621664,-0.06772497301962886,0.01880962418138782,0.9792278684731586,0.12162825988680498,0.056281974844454685,0.059211967993886616,0.9892081927232542,-0.19019018816216643,-0.06772497301962885,0.0188096241813879,0.9792278684731585,-0.11988013399844645,-0.019135096095933,-0.08010865292188821,0.9893660623333279,0.116803316314017,0.0676921690437937,-0.08305749667317468,0.9873581962968554,-0.11323152321360971,0.13618623195206875,-0.039529733768227424,0.9833968336971786,0.1078921021865507,0.07464377935193375,-0.012385842789127724,0.9912790683698662,0.0006988565024305254,0.04064343210762607,0.14208154802745898,0.9890199475926776,0.014272012898064974,0.015322217681507414,-0.08769109062351785,0.9959276137945047
0.01,-0.19021655275031116,-0.06771063421522429,0.018809372690286374,0.9792237438772399,0.12158126448389628,0.056294997536791194,0.05920999698956195,0.9892133468748415,-0.19025406405802273,-0.06773026678511372,0.018797694107915684,0.9792153229840965,-0.11993833477291242,-0.019219642777159415,-0.08006132978097748,0.9893612002990217,0.11678761209074072,0.06757581919377395,-0.08308180695229511,0.9873659785894867,-0.11331365626458018,0.13595861639477663,-0.03950079791689418,0.9834200307579154,0.10807904418368061,0.07468240399052908,-0.012396577409367318,0.9912556600650868,0.0007681482029796571,0.040644649549267456,0.14222637992299544,0.9889990289506636,0.014197054729025726,0.015371442693156597,-0.08764613514865606,0.9959318839057496
0.02,-0.19020590470105672,-0.0677079072037637,0.018807865456863526,0.9792260297377189,0.12154782069818376,0.05632080027279461,0.05922522233952783,0.989215076603156,-0.19032767776053558,-0.06773525703069444,0.018772399367280063,0.9792011576051485,-0.11998560257084491,-0.019290216192329013,-0.08003755177250058,0.9893560193586679,0.11675518990638363,0.06761593524996329,-0.08307411476529857,0.9873677138666015,-0.11338897870110222,0.13579379789658486,-0.03942937474916569,0.9834369874927587,0.10816105404647096,0.07463694164162991,-0.012415963256735708,0.9912498964369921,0.0009194730445830357,0.04067144441129918,0.1424042314914429,0.988972205389085,0.014067356102302704,0.015315558943995933,-0.08753986759113011,0.9959439315185628
0.03,-0.1901962314527823,-0.06772391311167625,0.01880618721670246,0.97922683401568,0.12151136048374636,0.056351105825886705,0.059230380494458154,0.9892175211610793,-0.19038148539156283,-0.0677766821625194,0.018712051945779518,0.9791889860936558,-0.12006283663056509,-0.01942204642124768,-0.0800291383956084,0.9893447510249852,0.11671185810226868,0.06765204485125308,-0.08309512343595875,0.9873685955441983,-0.11345684924929776,0.13565338647607175,-0.039373734814632695,0.9834507669948418,0.10815636386421312,0.0746110853564281,-0.012450987360492237,0.9912519154137138,0.001000698259918331,0.040691726961971104,0.14253198996091418,0.9889528875520951,0.013993826679846465,0.015338667252089957,-0.08735312082194407,0.9959610084659194
0.04,-0.19020863860149775,-0.06774071403607475,0.01879999248297101,0.9792233809228044,0.12148394833317508,0.056359069030379474,0.05923970959906691,0.9892198756808466,-0.19048021275025054,-0.06779760433147969,0.018665478169082136,0.9791692260902867,-0.12012803920839925,-0.019546290537386733,-0.08001115751722557,0.9893358435814034,0.11664107831255109,0.0676449741734238,-0.08312810891830909,0.9873746674018065,-0.11348957738435171,0.1355441973524208,-0.03926412038347922,0.9834664281203102,0.1080332664381852,0.07454736397007361,-0.012487442858649781,0.9912696745279064,0.0011145769996366015,0.04071074772060938,0.14269430336455682,0.9889285760485661,0.013876236259829602,0.0153947180851625,-0.08717618614002914,0.9959772915545911
0.05,-0.1902420212938012,-0.06774404775470705,0.018796132697731727,0.9792167394011738,0.12144685672445196,0.05637093474546297,0.059246931982950335,0.9892233214791699,-0.19058752466121678,-0.0678072837564968,0.01861666166861782,0.9791486034414757,-0.12017418689524585,-0.01963704266296511,-0.08002299924156756,0.9893274841789768,0.11659397069595283,0.06763602843657963,-0.08315581797868853,0.9873785108006822,-0.11355107984280916,0.13542189307112057,-0.039162827747036805,0.9834802164082519,0.10794336933790792,0.074523862850256,-0.012481982205621136,0.9912813036681741,0.0012163038639529528,0.040691998962237484,0.1428182014855591,0.9889113424113398,0.013788782971652456,0.015439549740834141,-0.08702762770581836,0.9959908040659102
0.06,-0.1902590932990387,-0.06775244655050351,0.018789160479654093,0.9792129752264922,0.1214497305862034,0.05636978578628736,0.05926901269206471,0.9892217114102656,-0.1907005160192597,-0.06782285242498197,0.018563248293235666,0.9791265391621917,-0.12023001973529743,-0.01974845060010413,-0.08002045657184056,0.9893186885849169,0.11652412873312204,0.06757131287966178,-0.08319105799582861,0.9873882179610208,-0.11359713790788484,0.13530657669407983,-0.03900461543818167,0.9834970566997066,0.10785714280509057,0.07453664067837151,-0.012460153859593478,0.9912900032322031,0.0013736134975247255,0.04067096108289222,0.14293636390411435,0.9888949296990172,0.013677037318061695,0.015414362305707701,-0.08688741304306284,0.9960049766640692
0.07,-0.1902608282559614,-0.06776393204919329,0.018792515091502482,0.9792117789942703,0.12145024053957157,0.05639117538869795,0.059275571130975674,0.989220036735133,-0.19079840135113163,-0.06785446883389396,0.01852677377716268,0.9791059696246023,-0.1202773737993354,-0.019902385465771024,-0.08004849894204581,0.9893075791794139,0.1164815509021092,0.0674362284043576,-0.08321502138159205,0.9874004575725576,-0.11367713736037853,0.13520174819599634,-0.03889372577244252,0.9835066211377707,0.1079544803473794,0.07460948685498357,-0.012435100937484112,0.9912742420283289,0.0014343208330860333,0.04060133319070316,0.14299906645181149,0.98888863956504,0.013647082106728374,0.015367449236472593,-0.08670596171448539,0.9960219248877522
0.08,-0.19026016969831555,-0.06777049891577354,0.018786438750895085,0.9792115690810308,0.12144853987441656,0.05639496405542642,0.05929035379268413,0.9892191436373934,-0.19088277547343996,-0.06786964848142238,0.01846317144800652,0.9790896731876227,-0.12032330546855513,-0.020055959587594294,-0.08005784139876823,0.989298136396057,0.11650671443374647,0.06728547980558795,-0.08320729245534625,0.9874084242001563,-0.11377214198838408,0.13508772396367646,-0.03876379484586986,0.983516433391347,0.10820046110385162,0.07474097977256051,-0.01238526232636356,0.9912381406285066,0.0015318439623993735,0.04057377316628426,0.14301956923609888,0.9888866594310224,0.013561460770656189,0.015184861552936371,-0.08651285491374655,0.9960426861817003
0.09,-0.19027929536808794,-0.06776487695211794,0.018754757333577482,0.9792088491651039,0.12149966135533236,0.056384018987123696,0.05926527306114243,0.9892149928617073,-0.1909562525285455,-0.06791757477833005,0.018433982261187504,0.9790725718528114,-0.12036764043036212,-0.020193584028849788,-0.08010781449204941,0.9892858981905102,0.11645597504144613,0.06712409572784564,-0.08324222299969473,0.9874224495928449,-0.11382248183734028,0.135009584174984,-0.03868237546791164,0.9835245439934103,0.10828274554955629,0.07483726778614304,-0.012352138975430959,0.9912223035370455,0.001586508888617152,0.0405613217587041,0.14302760201292417,0.988885922252494,0.013552844320452555,0.015111000773950854,-0.08624535286739746,0.9960671248340713
