time [s],XSens_Hand_Right_QX,XSens_Hand_Right_QY,XSens_Hand_Right_QZ,XSens_Hand_Right_QW,XSens_Foot_Left_QX,XSens_Foot_Left_QY,XSens_Foot_Left_QZ,XSens_Foot_Left_QW,XSens_Foot_Right_QX,XSens_Foot_Right_QY,XSens_Foot_Right_QZ,XSens_Foot_Right_QW,XSens_LowerLeg_Right_QX,XSens_LowerLeg_Right_QY,XSens_LowerLeg_Right_QZ,XSens_LowerLeg_Right_QW,XSens_LowerLeg_Left_QX,XSens_LowerLeg_Left_QY,XSens_LowerLeg_Left_QZ,XSens_LowerLeg_Left_QW,XSens_UpperLeg_Right_QX,XSens_UpperLeg_Right_QY,XSens_UpperLeg_Right_QZ,XSens_UpperLeg_Right_QW,XSens_UpperLeg_Left_QX,XSens_UpperLeg_Left_QY,XSens_UpperLeg_Left_QZ,XSens_UpperLeg_Left_QW,XSens_Pelvis_QX,XSens_Pelvis_QY,XSens_Pelvis_QZ,XSens_Pelvis_QW,XSens_Sternum_QX,XSens_Sternum_QY,XSens_Sternum_QZ,XSens_Sternum_QW
0.0,-0.07918306251334901,-0.12155726646698968,0.07686672706711188,0.9864306259692419,0.07799818904971673,0.039057454532368044,0.06210810822552233,0.99425015999147,-0.07918306251334911,-0.12155726646698956,0.07686672706711203,0.9864306259692419,-0.010371402797703188,-0.06174857885885027,-0.06513554857156684,0.9959100899806174,0.03620139354313681,-0.000952570499658117,-0.08947534250267805,0.995330455074598,0.02468677704859396,0.07988410245361989,-0.06533315064221468,0.9943543999205184,-0.016548796235105218,-0.04690307365326426,-0.022894936784302315,0.9984999053052975,-0.015403346061208467,0.036067744915373706,0.35586715315638817,0.9337132450657462,-0.001142434249374977,-0.010537486179851651,-0.1053329171681797,0.994380527157404
0.01,-0.07925750060554457,-0.12160326473321725,0.07687196780668087,0.9864185699638435,0.07860004163795752,0.03899175852979694,0.062533448320695,0.9941786781370783,-0.07936041682358264,-0.12156375114377346,0.07684796046218818,0.9864170363605061,-0.010426879498420912,-0.06167781042445272,-0.064955450371536,0.9959256585469629,0.036436153496018614,-0.0010361092490859672,-0.08908171757576773,0.9953571121912927,0.024519880535177258,0.07995086895213209,-0.06520706700980175,0.9943614395300729,-0.01713718548428289,-0.046765940052942274,-0.023029355438571632,0.9984933212158836,-0.015416208850410975,0.03640670953494307,0.3557288895358229,0.9337525631317587,-0.0009904649870440194,-0.010469091221220774,-0.10586582033971914,0.9943248187548723
0.02,-0.07933248147604469,-0.12165319703965033,0.07685424850907124,0.9864077663517208,0.07912761319493,0.039017219851905635,0.06294761454054743,0.9941096897268211,-0.07956164471314914,-0.12150027288392243,0.07683026785174119,0.9864100254567068,-0.0105864782724878,-0.06146530766723765,-0.06475812089394645,0.9959499627036708,0.03658913369780998,-0.0008107204126637704,-0.08872401676885289,0.9953836581319068,0.0242666596117127,0.07996602632982429,-0.06512414957915873,0.9943718665599398,-0.01734198021942697,-0.04675347581109066,-0.023132779177583846,0.9984879782697296,-0.015455165089697298,0.036814299501017264,0.3552741941841806,0.9339090384888032,-0.0008045447207882736,-0.010423012643928798,-0.10624271479679881,0.9942852704670944
0.03,-0.07943302509436612,-0.12169955968445752,0.0768445626889867,0.9863947104897236,0.07941518030996303,0.03902769547884881,0.06334001608143223,0.9940614218873753,-0.07981242273650974,-0.12149152203808884,0.07678681867156406,0.9863942273392001,-0.010697565845572755,-0.06124644553539022,-0.06455083691465184,0.9959757147882061,0.03644319181957964,-0.00047835510173319546,-0.08838795999446937,0.9954191245271582,0.024059326801465355,0.07992829759601144,-0.06503676503494044,0.9943856571929494,-0.017338839270996376,-0.046699402336488026,-0.02322488380396443,0.9984884251940239,-0.01533913821181393,0.037251629078150154,0.3546214481485044,0.9341416677801073,-0.000614403189187665,-0.010443853194660558,-0.10643355665965289,0.9942647768356002
0.04,-0.0795391282646616,-0.12173221535306024,0.07682504963418647,0.9863836508016739,0.07968528874505611,0.03905155241563595,0.06364435178299571,0.9940194301409143,-0.08003770414052341,-0.12148284714687457,0.07677856557395034,0.9863776840710712,-0.010860760348715397,-0.06087384045102086,-0.06431391499166898,0.9960121182856341,0.03624119990294846,-0.00010873757316165944,-0.08808077660496023,0.9954538363974504,0.023838788832499503,0.07982076019638769,-0.06499660694815422,0.9944022322349733,-0.017124428779923928,-0.046410519693179025,-0.023279088941947933,0.998504332298465,-0.015318230068251556,0.037653590696247886,0.3539490181312496,0.934380892088007,-0.00038766012937530014,-0.010482021683491995,-0.10656338259482602,0.9942505833194164
0.05,-0.07963968470777484,-0.12177857982949349,0.07681536920207062,0.9863705678743194,0.07972178475502721,0.03905164652656689,0.06390286435837099,0.9939999144194293,-0.0802657797535091,-0.12145886495369332,0.07670929324089483,0.9863674939165443,-0.0108581292138682,-0.060510699287569594,-0.06410344148362265,0.9960478427724544,0.03608025150510643,0.00011817539294824934,-0.08781365865324643,0.9954832810448581,0.02365468401981078,0.07968221352159334,-0.06494940804468805,0.9944208239809075,-0.01706341329880905,-0.045989834704291625,-0.023350671121961892,0.9985231700810052,-0.015226310281681421,0.03801506575727054,0.3533226730294,0.934604784373607,-0.0002068792284777507,-0.010466890294863201,-0.10668224975288265,0.9942380494610956
0.06,-0.0797351708529353,-0.12181495624122657,0.07677594397222623,0.9863614314196267,0.07969765020843518,0.039186505303138074,0.06418804833415348,0.9939781671668817,-0.0804311266172747,-0.1214204313871537,0.0766931969240107,0.9863600084443856,-0.010904291557324154,-0.060318982833189476,-0.0638584261981881,0.9960747050995187,0.03615055552937306,0.0003016135763673636,-0.08755960047384591,0.9955030701755917,0.023430402363795424,0.07955544418007865,-0.06490322514709304,0.9944392987567854,-0.01683739527081154,-0.04558372831585893,-0.02338319427898913,0.998544867323763,-0.015258378540221162,0.03831908849189762,0.3528034500894056,0.9347879732572975,-2.969410099647185e-05,-0.010411695721328286,-0.10679029085447853,0.9942270512763586
0.07,-0.07984697558232451,-0.12182140819254185,0.07675231339571528,0.9863534292456979,0.07947708754449388,0.03925754039612298,0.06437551064022191,0.9939809010777332,-0.08070576949611685,-0.12136231623172708,0.07664538713320566,0.9863484432998874,-0.010988964761173253,-0.06042380202222709,-0.06364159570021886,0.9960812989406972,0.036218769197354166,0.0005574340567403024,-0.08733344324662164,0.995520346208851,0.023296003070519832,0.07944001759859229,-0.0648730646539488,0.9944536516737612,-0.0165234803389317,-0.04529059037158226,-0.023344070994437496,0.9985643651616501,-0.015172491501269203,0.03858768194522381,0.3523498289160817,0.9349494020355038,7.555286494252689e-05,-0.010303368688056001,-0.1068619194612406,0.9942204811079391
0.08,-0.07987095773194833,-0.12182999072700164,0.07677309169204982,0.9863488104430826,0.0794614905845549,0.039312176142061006,0.06450095105160303,0.9939718565605845,-0.08083980424294182,-0.12127897271748084,0.07665916796960472,0.986346647377464,-0.011187608867294925,-0.06067771564318218,-0.06340763663606917,0.9960785731298439,0.03614168270306914,0.00083081485051436,-0.08709362329112338,0.9955439665329195,0.023150587827312084,0.07930268662737808,-0.0648512705867675,0.9944694298369416,-0.01594131637087406,-0.045096197884512246,-0.02328228642497543,0.9985840688232265,-0.015202387447787347,0.038806081729575045,0.35188960359056104,0.9351131922508433,0.00017810642865848103,-0.010142789023552583,-0.10679640730171475,0.9942291584420416
0.09,-0.07989098109395187,-0.12184335378477157,0.07673954680550166,0.986348148593797,0.07913160976337683,0.03935218370247712,0.06449366739472275,0.9939970627924825,-0.08088330277838068,-0.12135326290268703,0.07664038574124907,0.9863354034951624,-0.011310021221710022,-0.06086650895937103,-0.06317270776704735,0.9960805993996885,0.03586814925820849,0.0010697986084689053,-0.08686192965232847,0.995573872988239,0.02304917042559319,0.07917664221922788,-0.06483249208372217,0.9944830531687278,-0.015639294203589574,-0.04492095033865221,-0.023240992986964814,0.9985977052559584,-0.015132958784587643,0.0390183511163465,0.3514361305811048,0.9352760062980158,0.00016325390844190019,-0.009925533783278838,-0.10662824407985044,0.9942494026609855
