time_s,yaw,pitch,roll,label,subject_id,scenario,source_file
0.0,7.108245798967066,19.291961531097613,4.383605545435376,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.02,7.108798208282213,19.294787377812682,4.387046832234501,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.04,7.109050007969709,19.297175279558274,4.388916076302543,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.06,7.109696318239576,19.30266726585148,4.392109884845596,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.08,7.111164398153095,19.309898887045897,4.3958564549428845,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.1,7.112011085320984,19.318121429519323,4.399564492675594,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.12,7.1131957554167595,19.32611663884893,4.400615756973966,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.14,7.114965847623898,19.33513894401528,4.401104934569341,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.16,7.116803199159004,19.34362404664434,4.400518501154652,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.18,7.117911719031246,19.351336272954995,4.398704348182406,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.2,7.118703737167513,19.357722497123568,4.395817075954581,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.22,7.118993126016521,19.362874536718977,4.392523325047132,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.24,7.11875369141553,19.367002580284783,4.389745640144263,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.26,7.118521655650251,19.37074553095691,4.387150464020046,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.28,7.117609059783109,19.374286126819385,4.385422805387785,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.3,7.116514795989327,19.377800635846928,4.385386220686838,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
