time [s],XSens_Hand_Right_QX,XSens_Hand_Right_QY,XSens_Hand_Right_QZ,XSens_Hand_Right_QW,XSens_Foot_Left_QX,XSens_Foot_Left_QY,XSens_Foot_Left_QZ,XSens_Foot_Left_QW,XSens_Foot_Right_QX,XSens_Foot_Right_QY,XSens_Foot_Right_QZ,XSens_Foot_Right_QW,XSens_LowerLeg_Right_QX,XSens_LowerLeg_Right_QY,XSens_LowerLeg_Right_QZ,XSens_LowerLeg_Right_QW,XSens_LowerLeg_Left_QX,XSens_LowerLeg_Left_QY,XSens_LowerLeg_Left_QZ,XSens_LowerLeg_Left_QW,XSens_UpperLeg_Right_QX,XSens_UpperLeg_Right_QY,XSens_UpperLeg_Right_QZ,XSens_UpperLeg_Right_QW,XSens_UpperLeg_Left_QX,XSens_UpperLeg_Left_QY,XSens_UpperLeg_Left_QZ,XSens_UpperLeg_Left_QW,XSens_Pelvis_QX,XSens_Pelvis_QY,XSens_Pelvis_QZ,XSens_Pelvis_QW,XSens_Sternum_QX,XSens_Sternum_QY,XSens_Sternum_QZ,XSens_Sternum_QW
0.0,-0.040675289556828836,-0.0381516183559549,-0.05372458186283238,0.9969973140083948,0.21895783773012606,0.062462254880331664,0.04256011254225578,0.9728024305233837,-0.04067528955682878,-0.03815161835595493,-0.053724581862832355,0.9969973140083948,-0.08154559665003254,-0.06656466626319178,-0.06838956107702705,0.9920898794000228,0.03702697595439947,-0.08487344557022307,-0.05580814194735067,0.9941382965066256,-0.12868802264498982,0.16195743456020448,-0.026552834105490405,0.9780102909578029,0.08727687869945032,-0.11982840802464863,-0.07323690926415953,0.9862353949216146,0.0873109616245439,-0.025888484761090225,0.07402950162713819,0.993089228229674,-0.017958316396053477,0.00501004559442343,-0.0422848194888132,0.9989316254660073
0.01,-0.040666977271339944,-0.038111308215043826,-0.05370884547998975,0.997000042659456,0.21892641297009724,0.062464929870566344,0.04260077282302466,0.9728075515718373,-0.04067016639929605,-0.03819336248912783,-0.05377396551968355,0.9969932623940423,-0.08154980407458046,-0.06648738395503338,-0.06834793875488303,0.9920975841610402,0.03696032680799069,-0.08485503201280298,-0.055819579123339715,0.9941417063833737,-0.12872679896025246,0.16203917469799634,-0.026473242296882728,0.9779938059798383,0.0872443796222185,-0.11960098589307874,-0.07330116352323819,0.9862611022563333,0.08725763985078988,-0.02609034607513983,0.0739098798078666,0.9930975419343944,-0.017991655841272942,0.005036706339993051,-0.04227994086235102,0.9989310979792401
0.02,-0.04066606958641961,-0.03809244985995101,-0.05373426313789565,0.9969994307987778,0.21894651551401748,0.062471271492789124,0.04262691050318923,0.97280147516505,-0.0406780011011878,-0.03821292464020434,-0.05383060735010664,0.996989136515124,-0.08159703042414737,-0.066486526610099,-0.06828844141646437,0.9920978556443893,0.036877864728217184,-0.08485890235732155,-0.05580829373368011,0.994145071976084,-0.1287290261884681,0.16215706523077783,-0.02635373599517323,0.9779772004558219,0.0871727140062158,-0.11945998403276493,-0.07332333027166713,0.9862828800022609,0.08717970393581165,-0.02628802476400772,0.07370908803050227,0.9931140968274405,-0.01801302824727581,0.005026488152158899,-0.042317909582028655,0.9989291565265408
0.03,-0.04066883728309443,-0.03806637883478973,-0.053716882533867784,0.9970012502536244,0.21897354889162343,0.062467090598940865,0.04263191746286966,0.9727954394893875,-0.040708667312548574,-0.038249874259480926,-0.053868476676241756,0.9969844225189034,-0.0816434551175824,-0.06649615421328002,-0.06820553488101697,0.9920990942052621,0.036755952519331246,-0.08495488367340567,-0.0558030577327173,0.9941416832836827,-0.12860074316883682,0.16230152259055824,-0.026195321276319523,0.9779743707093963,0.08699446647738793,-0.11956823897107949,-0.07336709048080839,0.9862822461476484,0.08705515256738115,-0.026538772776638343,0.07348794695111614,0.9931347419176766,-0.017967340265135093,0.00498277779970393,-0.04234152166158617,0.9989291977675782
0.04,-0.040672805247246674,-0.038053881824435476,-0.053714348423819974,0.9970017019869204,0.21894432982687267,0.06250646798194898,0.04267714990384059,0.9727975034780714,-0.04074241713444405,-0.03829766401742785,-0.05389443195809971,0.9969798065060119,-0.08166562433207689,-0.06658174010619226,-0.06811707093732489,0.9920976072614041,0.036703120367074966,-0.08505068679296711,-0.05578593715730595,0.9941364045476083,-0.1285426614319045,0.1623441558587903,-0.026093549041138316,0.977977651047782,0.0869321418467124,-0.11963750689582481,-0.0733885327463785,0.9862777463367144,0.08694851143978874,-0.02675826019233282,0.07331308816628337,0.9931511178936503,-0.017992058264871633,0.0048891259093945755,-0.04240270636237367,0.9989266203182203
0.05,-0.040690260302345155,-0.03803366534450042,-0.05372622300141855,0.9970011213529261,0.21888442847296063,0.06247058110946453,0.04270974227129446,0.9728118581632478,-0.04080577537074201,-0.03832181406508084,-0.05392777779605898,0.9969744841494856,-0.08167904693096868,-0.06666892130522212,-0.06801548461703372,0.9920976172115106,0.03669129834305346,-0.08504388266913619,-0.05575632867999304,0.9941390840614748,-0.12857086352368716,0.16229939310994582,-0.02597121920167412,0.9779846296451163,0.08674177192743793,-0.11954821803058537,-0.07343904349327415,0.9863015742963168,0.08689059767469556,-0.026948047421566097,0.07323089976206697,0.9931571185345939,-0.018079795389339216,0.0048268427133811714,-0.042463992001213466,0.9989227357365638
0.06,-0.040701177497262646,-0.038021647957272774,-0.05370803753262256,0.9970021139101681,0.21887838779741353,0.06246524656413244,0.042711678025492555,0.9728134748692238,-0.0408502240426635,-0.03835277686338359,-0.05394337739459007,0.9969706293255568,-0.08171919340009748,-0.06674447698188364,-0.0678999811345505,0.9920971428163575,0.036639160275139235,-0.08494979448654526,-0.05573527413496358,0.9941502318905967,-0.1286660316048063,0.16221367817252,-0.025815282119527723,0.9779904632121431,0.08674120020490167,-0.11952225294554725,-0.0734863420411352,0.9863012484891456,0.08683054752950943,-0.027160685093743725,0.07322927327336552,0.9931566979771212,-0.018138884392300703,0.0048508945074070536,-0.04255440364536659,0.9989177005268592
0.07,-0.04071587874559679,-0.037987031419567635,-0.05367840891997189,0.9970044288155009,0.2188091031644487,0.06241015179497359,0.042765819724017294,0.9728302184804042,-0.04089149504949957,-0.03837799539602982,-0.05396668345018632,0.9969667056523936,-0.08176806256287245,-0.06672704597557975,-0.0677786875900383,0.9921025827950752,0.03669524491511733,-0.08480696937512756,-0.0556621198802391,0.9941644558907062,-0.1288285658883618,0.16210449071265134,-0.02569938395540275,0.9779902230422618,0.08692467721702142,-0.11941794051486268,-0.07356562276305192,0.9862918204676494,0.08684120994687594,-0.027346708127876467,0.07328542778535244,0.9931465188399189,-0.01826031618916632,0.004792904704921244,-0.042633581595088586,0.9989123918730491
0.08,-0.04070071270149789,-0.03796574544148662,-0.05368085820514304,0.997005726975037,0.21882183814679126,0.06245697130099153,0.042818771851618344,0.9728220200340275,-0.040899788053319425,-0.03842706549317973,-0.05396879311908029,0.9969643611203194,-0.08178114671479306,-0.06666192654699103,-0.06767981746415601,0.9921126316598714,0.03671025121414605,-0.0847244694868498,-0.055583810249581436,0.9941753174184645,-0.12890463018655063,0.16205873818284044,-0.025593136040174498,0.9779905690152045,0.0868922326297349,-0.11914948881753751,-0.07360258258746474,0.9863243883528354,0.08680372193820733,-0.02760943670987077,0.07328450453762105,0.9931425951276652,-0.01821502035300842,0.004565971364484398,-0.04276975966286651,0.9989084605695454
0.09,-0.04066357400921361,-0.037903289807388524,-0.05370959313660559,0.9970080711687718,0.21886332392329794,0.06246657931319153,0.04284958236687573,0.9728107139629676,-0.040897536827118414,-0.038464167478675426,-0.053997503545520076,0.996961468118251,-0.08182190272012174,-0.06661626507977964,-0.06752516643817114,0.9921228761396327,0.03672332312212417,-0.08458695498930788,-0.05550352051341473,0.994191029830345,-0.12899024161267517,0.16196525572655904,-0.025519448071344326,0.9779966928759362,0.086793629364865,-0.1189268586339544,-0.0736422167201897,0.9863569800602978,0.08679394530012058,-0.027841744972858875,0.07327037377483706,0.9931380068364123,-0.018308946577499714,0.004229401981724636,-0.04286004309113514,0.9989043554516747
